,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
0,Pizzaria Água na Boca,Pizza Place,"R. Major Diogo, 789",-23.545886867696073,-46.642144182897994,"[{'label': 'display', 'lat': -23.545886867696073, 'lng': -46.642144182897994}]",706,01324-001,BR,São Paulo,SP,Brasil,"['R. Major Diogo, 789', 'São Paulo, SP', '01324-001', 'Brasil']",,,4ed561e1722e6f1fdae75229
1,Pizzaria Prosperitá,Pizza Place,"Av. Ipiranga, 200",-23.546272978423538,-46.64400623502473,"[{'label': 'display', 'lat': -23.546272978423538, 'lng': -46.64400623502473}]",898,01046-010,BR,São Paulo,SP,Brasil,"['Av. Ipiranga, 200', 'São Paulo, SP', '01046-010', 'Brasil']",,,4da779c6cda119a2c8e83d2e
2,Pizzaria Castelões,Pizza Place,"R. Jairo Góis, 126",-23.544499592762016,-46.62149715057761,"[{'label': 'display', 'lat': -23.544499592762016, 'lng': -46.62149715057761}]",1406,SP,BR,São Paulo,SP,Brasil,"['R. Jairo Góis, 126', 'São Paulo, SP', 'SP', 'Brasil']",,,4b40179ff964a52083b525e3
3,Pizzaria Bono Siena,Pizza Place,Rua Oscar Cintra Gordinho,-23.554303012874662,-46.63002949844596,"[{'label': 'display', 'lat': -23.554303012874662, 'lng': -46.63002949844596}]",1112,,BR,São Paulo,SP,Brasil,"['Rua Oscar Cintra Gordinho', 'São Paulo, SP', 'Brasil']",,,55a85a68498e9265cebe9cfe
4,Veridiana Pizzaria,Pizza Place,"R. Da. Veridiana, 661",-23.545320329951704,-46.65194492138618,"[{'label': 'display', 'lat': -23.545320329951704, 'lng': -46.65194492138618}]",1705,01238-010,BR,São Paulo,SP,Brasil,"['R. Da. Veridiana, 661 (R. Itambé)', 'São Paulo, SP', '01238-010', 'Brasil']",R. Itambé,,4c4900de823195210b2090f2
5,Pizzaria E Lanchonete O Sucesso,Brazilian Restaurant,,-23.558183967639344,-46.63411451831982,"[{'label': 'display', 'lat': -23.558183967639344, 'lng': -46.63411451831982}]",1413,,BR,São Paulo,SP,Brasil,"['São Paulo, SP', 'Brasil']",,,4d56aefb9e508cfa9400119b
6,Pizzaria Nova Oriente,Pizza Place,"R. Dr. Cesário Mota Júnior, 482",-23.546160209889543,-46.64910521352283,"[{'label': 'display', 'lat': -23.546160209889543, 'lng': -46.64910521352283}]",1417,01221-020,BR,São Paulo,SP,Brasil,"['R. Dr. Cesário Mota Júnior, 482', 'São Paulo, SP', '01221-020', 'Brasil']",,,4cd7431e4ebba090e0fcaad6
7,Piolin Cantina e Pizzaria,Italian Restaurant,"R. Augusta, 311",-23.55107228415607,-46.649015780844536,"[{'label': 'display', 'lat': -23.55107228415607, 'lng': -46.649015780844536}]",1535,,BR,São Paulo,SP,Brasil,"['R. Augusta, 311', 'São Paulo, SP', 'Brasil']",,,4bb63e9046d4a593a1ebc5c0
8,Pizzaria Bella Antônia,Pizza Place,"R. Maria Antonia, 72",-23.547510150548966,-46.649434132785785,"[{'label': 'display', 'lat': -23.547510150548966, 'lng': -46.649434132785785}]",1465,01222-010,BR,São Paulo,SP,Brasil,"['R. Maria Antonia, 72 (R. da Consolação)', 'São Paulo, SP', '01222-010', 'Brasil']",R. da Consolação,,4ba78d2ef964a520a59c39e3
9,Pizzaria Speranza,Pizza Place,"R. Treze de Maio, 1004",-23.562072631201286,-46.64604661484011,"[{'label': 'display', 'lat': -23.562072631201286, 'lng': -46.64604661484011}]",2147,01327-000,BR,São Paulo,SP,Brasil,"['R. Treze de Maio, 1004 (Av. Brigadeiro Luiz Antonio)', 'São Paulo, SP', '01327-000', 'Brasil']",Av. Brigadeiro Luiz Antonio,,4b256d50f964a520ce7124e3
10,Pizzaria e Esfiharia Plenitude Belas Artes,Pizza Place,arnaldo baena Fernandes 452,-23.546481080504712,-46.635332107543945,"[{'label': 'display', 'lat': -23.546481080504712, 'lng': -46.635332107543945}]",106,11740-000,BR,São Paulo,SP,Brasil,"['arnaldo baena Fernandes 452', 'São Paulo, SP', '11740-000', 'Brasil']",,,54a1c9c7498ed981ab145b4f
11,Pizzaria La'Romanitta,Pizza Place,"Al. Nothmann, 960",-23.53466163971403,-46.649322024920345,"[{'label': 'display', 'lat': -23.53466163971403, 'lng': -46.649322024920345}]",1878,,BR,São Paulo,SP,Brasil,"['Al. Nothmann, 960', 'São Paulo, SP', 'Brasil']",,,4fc95b4fe4b0fca0cecf7587
12,Pizzaria Ovençal,Pizza Place,"R. Ten. Otávio Gomes, 236",-23.563445437367328,-46.631911462744625,"[{'label': 'display', 'lat': -23.563445437367328, 'lng': -46.631911462744625}]",2023,,BR,São Paulo,SP,Brasil,"['R. Ten. Otávio Gomes, 236', 'São Paulo, SP', 'Brasil']",,,4da3d960540ea1cd71bb99de
13,Bráz Pizzaria,Pizza Place,"R. Sergipe, 406",-23.547989431089498,-46.657644920658626,"[{'label': 'display', 'lat': -23.547989431089498, 'lng': -46.657644920658626}]",2303,01243-000,BR,São Paulo,SP,Brasil,"['R. Sergipe, 406', 'São Paulo, SP', '01243-000', 'Brasil']",,,4b0739cef964a5201bfa22e3
14,Pizzaria Monte Verde,Pizza Place,"R. Barra do Tibaji, 406",-23.52320670496587,-46.642153682984905,"[{'label': 'display', 'lat': -23.52320670496587, 'lng': -46.642153682984905}]",2582,01128-000,BR,São Paulo,SP,Brasil,"['R. Barra do Tibaji, 406 (R. Nilton Prado)', 'São Paulo, SP', '01128-000', 'Brasil']",R. Nilton Prado,,4bd391eaa8b3a593c55e6a5f
15,Pizzaria Ikiru,Pizza Place,"R. Galvão Bueno, 643",-23.561364467701736,-46.634869251432285,"[{'label': 'display', 'lat': -23.561364467701736, 'lng': -46.634869251432285}]",1763,01506-000,BR,São Paulo,SP,Brasil,"['R. Galvão Bueno, 643', 'São Paulo, SP', '01506-000', 'Brasil']",,,4bed91261059d13afcea51d8
16,Pizzaria e Cantina Parma Kasher,Pizza Place,"R. Rosa e Silva, 222",-23.53471973408044,-46.658127054465304,"[{'label': 'display', 'lat': -23.53471973408044, 'lng': -46.658127054465304}]",2627,,BR,São Paulo,SP,Brasil,"['R. Rosa e Silva, 222', 'São Paulo, SP', 'Brasil']",,,4e35fb61a8092599ee0b42e7
17,Pizzaria Campos Elíseos,Pizza Place,"R. Conselheiro Nébias, 1154",-23.533539063112464,-46.64719056321053,"[{'label': 'display', 'lat': -23.533539063112464, 'lng': -46.64719056321053}]",1807,01203-002,BR,São Paulo,SP,Brasil,"['R. Conselheiro Nébias, 1154', 'São Paulo, SP', '01203-002', 'Brasil']",,,4bc88ea615a7ef3bb44c7bda
18,Pizzaria Donna Ofelia,Italian Restaurant,"R. Dr. Albuquerque Lins, 321",-23.533354295243907,-46.65469619512801,"[{'label': 'display', 'lat': -23.533354295243907, 'lng': -46.65469619512801}]",2403,,BR,São Paulo,SP,Brasil,"['R. Dr. Albuquerque Lins, 321', 'São Paulo, SP', 'Brasil']",,,4cd5eff767adf04d9b613091
19,Via Babush Pizzaria e Casa de Esfiha,Pizza Place,"R. Barão de Tatuí, 115",-23.536991248813518,-46.65344369358393,"[{'label': 'display', 'lat': -23.536991248813518, 'lng': -46.65344369358393}]",2086,01226-030,BR,São Paulo,SP,Brasil,"['R. Barão de Tatuí, 115 (Al. Barros)', 'São Paulo, SP', '01226-030', 'Brasil']",Al. Barros,Santa Cecília,4e231c06628469a57426d7e9
20,Pizzaria do Nicola,Pizza Place,Avenida Prestes Maia 241,-23.542100603808823,-46.635042764410805,"[{'label': 'display', 'lat': -23.542100603808823, 'lng': -46.635042764410805}]",381,,BR,São Paulo,SP,Brasil,"['Avenida Prestes Maia 241', 'São Paulo, SP', 'Brasil']",,,52a1f58d11d2a9521958fba8
21,Pizzaria Higienópolis,Brazilian Restaurant,"R. Dr. Veiga Filho, 237",-23.540899344354127,-46.658278774522685,"[{'label': 'display', 'lat': -23.540899344354127, 'lng': -46.658278774522685}]",2407,,BR,São Paulo,SP,Brasil,"['R. Dr. Veiga Filho, 237', 'São Paulo, SP', 'Brasil']",,,4cd575edfb5954817748de50
22,Pizzaria Philomena,Pizza Place,"R. Marquês de Itu, 621",-23.53395493156836,-46.657085436038095,"[{'label': 'display', 'lat': -23.53395493156836, 'lng': -46.657085436038095}]",2574,01223-001,BR,São Paulo,SP,Brasil,"['R. Marquês de Itu, 621', 'São Paulo, SP', '01223-001', 'Brasil']",,,513fcaa2e4b0ab132c91a2d7
23,Pizzaria São Paulo Pizza's,Pizza Place,"Al. Ribeirão Preto, 228",-23.56419576130309,-46.649240103352234,"[{'label': 'display', 'lat': -23.56419576130309, 'lng': -46.649240103352234}]",2522,,BR,São Paulo,SP,Brasil,"['Al. Ribeirão Preto, 228', 'São Paulo, SP', 'Brasil']",,,4bb698d946d4a593b586c6c0
24,Pizzaria Macro IV,Pizza Place,"R. Espirito Santo, 02",-23.569509317371743,-46.63244817288267,"[{'label': 'display', 'lat': -23.569509317371743, 'lng': -46.63244817288267}]",2685,01526-020,BR,São Paulo,SP,Brasil,"['R. Espirito Santo, 02', 'São Paulo, SP', '01526-020', 'Brasil']",,,4db0d4dbcda14b702a3a0997
25,Pizzaria Paulino,Pizza Place,"R. João Ramalho, 1033",-23.53439066690396,-46.675319938156,"[{'label': 'display', 'lat': -23.53439066690396, 'lng': -46.675319938156}]",4274,05008-002,BR,São Paulo,SP,Brasil,"['R. João Ramalho, 1033 (Esq. R. Iperoig)', 'São Paulo, SP', '05008-002', 'Brasil']",Esq. R. Iperoig,,4b8dac74f964a520d90733e3
26,Pizzaria do Ângelo,Pizza Place,"R. Sapucaia, 527",-23.55086374219326,-46.59213340824384,"[{'label': 'display', 'lat': -23.55086374219326, 'lng': -46.59213340824384}]",4438,03170-050,BR,São Paulo,SP,Brasil,"['R. Sapucaia, 527', 'São Paulo, SP', '03170-050', 'Brasil']",,,4bc24e78920eb713bd0b1c2c
27,Pizzaria Nova Zi,Pizza Place,"R. Fernando de Albuquerque, 270",-23.553166351957742,-46.658657079867915,"[{'label': 'display', 'lat': -23.553166351957742, 'lng': -46.658657079867915}]",2536,,BR,São Paulo,SP,Brasil,"['R. Fernando de Albuquerque, 270 (R. Bela Cintra)', 'São Paulo, SP', 'Brasil']",R. Bela Cintra,,4bc90bb9937ca593fd22a592
28,Quincazza Pizzaria e Churrascaria,Pizza Place,"R. Martim Francisco, 195",-23.539010492721633,-46.65198627929761,"[{'label': 'display', 'lat': -23.539010492721633, 'lng': -46.65198627929761}]",1856,01226-000,BR,São Paulo,SP,Brasil,"['R. Martim Francisco, 195', 'São Paulo, SP', '01226-000', 'Brasil']",,,4ce1b7e6db125481705e43ce
29,Casa Beluca Pizzaria,Pizza Place,"Rua Pires Da Mota, 205",-23.565205243514384,-46.63105661151611,"[{'label': 'display', 'lat': -23.565205243514384, 'lng': -46.63105661151611}]",2232,,BR,São Paulo,SP,Brasil,"['Rua Pires Da Mota, 205', 'São Paulo, SP', 'Brasil']",,,4f174521e4b0094a02d946c3
30,Pizzaria Guloso,Pizza Place,"Rua da Mooca, 3972, Em frente a praça Alexandre Fleming, Igreja Bom Conselho, Mooca",-23.5489433,-46.6388182,"[{'label': 'display', 'lat': -23.5489433, 'lng': -46.6388182}]",527,03165-002,BR,São Paulo,SP,Brasil,"['Rua da Mooca, 3972, Em frente a praça Alexandre Fleming, Igreja Bom Conselho, Mooca', 'São Paulo, SP', '03165-002', 'Brasil']",,,520a53a611d20ef0a5fc74e5
31,Pizzaria Club Athletico Paulistano,Pizza Place,"Rua Honduras, 1400",-23.568194123562957,-46.66828749047551,"[{'label': 'display', 'lat': -23.568194123562957, 'lng': -46.66828749047551}]",4212,,BR,São Paulo,SP,Brasil,"['Rua Honduras, 1400', 'São Paulo, SP', 'Brasil']",,,4d9fc26e31a6b60c3c786518
32,Pizzaria Urca,Pizza Place,"Av. Brg. Luís Antônio, 2401",-23.568654518019013,-46.64972139264189,"[{'label': 'display', 'lat': -23.568654518019013, 'lng': -46.64972139264189}]",2968,01419-000,BR,São Paulo,SP,Brasil,"['Av. Brg. Luís Antônio, 2401 (esq. Al. Santos)', 'São Paulo, SP', '01419-000', 'Brasil']",esq. Al. Santos,,4be48702d4f7c9b6db462420
33,Pizzaria Estrela Do Paraíso,Pizza Place,"Rua Tutóia, 155",-23.572788270210797,-46.64933513025337,"[{'label': 'display', 'lat': -23.572788270210797, 'lng': -46.64933513025337}]",3358,04007-005,BR,São Paulo,SP,Brasil,"['Rua Tutóia, 155 (R. Manoel da Nóbrega)', 'São Paulo, SP', '04007-005', 'Brasil']",R. Manoel da Nóbrega,,4d277ab5342d6dcbb618eeca
34,Sabor São Paulo Pizzaria,Pizza Place,"R. Bsa. de Itú, 191",-23.539907104941804,-46.65494441986084,"[{'label': 'display', 'lat': -23.539907104941804, 'lng': -46.65494441986084}]",2106,,BR,São Paulo,SP,Brasil,"['R. Bsa. de Itú, 191 (Av. Angélica)', 'São Paulo, SP', 'Brasil']",Av. Angélica,,4e02b326b61ce80e5d664f0c
35,Pizzaria Vieira,Pizza Place,,-23.542261123657227,-46.643672943115234,"[{'label': 'display', 'lat': -23.542261123657227, 'lng': -46.643672943115234}]",934,,BR,,,Brasil,['Brasil'],,,5407bb63498ef14f7903c67e
36,Pizzaria Nobreza,Pizza Place,,-23.541538,-46.641131,"[{'label': 'display', 'lat': -23.541538, 'lng': -46.641131}]",747,,BR,,,Brasil,['Brasil'],,,50aed54fe4b0211a3135c55a
37,Romanni Pizzaria e Esfiharia,Pizza Place,"R. Brig. Galvão, 477",-23.53133615309213,-46.65652006529593,"[{'label': 'display', 'lat': -23.53133615309213, 'lng': -46.65652006529593}]",2685,,BR,São Paulo,SP,Brasil,"['R. Brig. Galvão, 477', 'São Paulo, SP', 'Brasil']",,,4c2e77e7452620a1f9ec1b0f
38,Lanchonete e Pizzaria Real,Pizza Place,"Av. Prof. Alfonso Bovero, 2",-23.544998044053482,-46.6822762632346,"[{'label': 'display', 'lat': -23.544998044053482, 'lng': -46.6822762632346}]",4800,01254-000,BR,São Paulo,SP,Brasil,"['Av. Prof. Alfonso Bovero, 2 (Av. Dr. Arnaldo)', 'São Paulo, SP', '01254-000', 'Brasil']",Av. Dr. Arnaldo,,4b8537d6f964a520515131e3
39,Camelo Pizzaria,Pizza Place,"R. Pamplona, 1873",-23.572238184647333,-46.6619681904338,"[{'label': 'display', 'lat': -23.572238184647333, 'lng': -46.6619681904338}]",4035,01405-002,BR,São Paulo,SP,Brasil,"['R. Pamplona, 1873', 'São Paulo, SP', '01405-002', 'Brasil']",,,4cc4a813306e224b03969e6c
40,Pizzaria San Michelli,Pizza Place,Jose Antonio Coelhi,-23.549617769029396,-46.639504790803414,"[{'label': 'display', 'lat': -23.549617769029396, 'lng': -46.639504790803414}]",630,,BR,São Paulo,SP,Brasil,"['Jose Antonio Coelhi', 'São Paulo, SP', 'Brasil']",,,4bde1656e75c0f4756e2c603
