,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,neighborhood,id
0,Joe's Pizza,Pizza Place,1435 Broadway,W 40th St,40.75467949999999,-73.9870291,"[{'label': 'display', 'lat': 40.75467949999999, 'lng': -73.9870291}]",306,10018,US,New York,NY,United States,"['1435 Broadway (W 40th St)', 'New York, NY 10018', 'United States']",,598de3c33b83073f81718721
1,99¢ Fresh Pizza,Pizza Place,143 W 40th St,,40.75457557893008,-73.98758014806872,"[{'label': 'display', 'lat': 40.75457557893008, 'lng': -73.98758014806872}]",334,10018,US,New York,NY,United States,"['143 W 40th St', 'New York, NY 10018', 'United States']",,509c8753e4b0ca91f9ee1756
2,Domino's Pizza,Pizza Place,227 W 40th St,btw 7th & 8th,40.75529519335076,-73.98882418870926,"[{'label': 'display', 'lat': 40.75529519335076, 'lng': -73.98882418870926}, {'label': 'entrance', 'lat': 40.755586, 'lng': -73.989638}]",333,10018,US,New York,NY,United States,"['227 W 40th St (btw 7th & 8th)', 'New York, NY 10018', 'United States']",,4b91992af964a520b1c833e3
3,99¢ Pizza Spot,Pizza Place,43rd and 8th Ave,Corner of 43rd,40.758062033149805,-73.98948968496855,"[{'label': 'display', 'lat': 40.758062033149805, 'lng': -73.98948968496855}]",318,10036,US,New York,NY,United States,"['43rd and 8th Ave (Corner of 43rd)', 'New York, NY 10036', 'United States']",,4dc9931218387d1569587cf9
4,Famous Original Ray's Pizza,Pizza Place,736 7th Ave,btwn 48th & 49th St.,40.760437746601376,-73.98392887296407,"[{'label': 'display', 'lat': 40.760437746601376, 'lng': -73.98392887296407}, {'label': 'entrance', 'lat': 40.760368, 'lng': -73.984}]",387,10019,US,New York,NY,United States,"['736 7th Ave (btwn 48th & 49th St.)', 'New York, NY 10019', 'United States']",,4b4c704bf964a520feb226e3
5,2 Bros. Pizza,Pizza Place,557 8th Ave,at W 38th St,40.754722463446925,-73.99175064209689,"[{'label': 'display', 'lat': 40.754722463446925, 'lng': -73.99175064209689}]",572,10018,US,New York,NY,United States,"['557 8th Ave (at W 38th St)', 'New York, NY 10018', 'United States']",,4b9c3c35f964a5209f5736e3
6,Famous Amadeus Pizza - Hell's Kitchen,Pizza Place,840 8th Ave,,40.76235730570203,-73.98566722869873,"[{'label': 'display', 'lat': 40.76235730570203, 'lng': -73.98566722869873}, {'label': 'entrance', 'lat': 40.762595, 'lng': -73.985674}]",565,10019,US,New York,NY,United States,"['840 8th Ave', 'New York, NY 10019', 'United States']",,4aa88507f964a5208a5120e3
7,Fresh Pizza 99 Cents,Pizza Place,1032 Avenue of the Americas,,40.752858573980326,-73.98563395601224,"[{'label': 'display', 'lat': 40.752858573980326, 'lng': -73.98563395601224}]",492,10018,US,New York,NY,United States,"['1032 Avenue of the Americas', 'New York, NY 10018', 'United States']",,5851a76b0393cc0b7003d204
8,2 Bros. Pizza,Pizza Place,31 W 46th St,btwn 5th & 6th Ave,40.75672851136888,-73.98055343233084,"[{'label': 'display', 'lat': 40.75672851136888, 'lng': -73.98055343233084}, {'label': 'entrance', 'lat': 40.756679, 'lng': -73.980303}]",451,10036,US,New York,NY,United States,"['31 W 46th St (btwn 5th & 6th Ave)', 'New York, NY 10036', 'United States']",,4c7d96bbd65437043defc0a2
9,New York Pizza Suprema,Pizza Place,413 8th Ave,btwn W 30th & W 31st St,40.750124384298815,-73.99499165569237,"[{'label': 'display', 'lat': 40.750124384298815, 'lng': -73.99499165569237}, {'label': 'entrance', 'lat': 40.750134, 'lng': -73.995165}]",1108,10001,US,New York,NY,United States,"['413 8th Ave (btwn W 30th & W 31st St)', 'New York, NY 10001', 'United States']",,4a639f9ff964a52077c51fe3
